DIRECCION,REFERENCIA GENERAL,OBJETIVO GENERAL,No TRAMITE,DESCRIPCION GENERAL,TECNICO ENCARGADO,FECHA INICIAL,FECHA LIMITE,ESTADO,OBSERVACION,ENTIDAD ACTUAL,
DIRECCIÓN ADMINISTRATIVA,CONVENIO FISCALIA,"Dotar de un espacio físico adecuado para el funcionamiento de la Unidad de Protección de Víctimas y Testigos de la Fiscalía General del Estado, mediante un convenio de cooperación interinstitucional que fortalezca la atención y protección de las personas usuarias del servicio.",,INFRAESTRUCTURA,MAURO TAPIA,,,EN CURSO,"mesa técnica la Fiscalía sobre el espacio físico para el funcionamiento de la Unidad de Protección de Víctimas y Testigos de la Fiscalía General del Estado, mediante un convenio de cooperación interinstitucional",PROCURADURIA,
DIRECCIÓN ESTRATÉGICA,SEGUIMIENTO PROCESOS DEL PLAN ANUAL DE CONTRATACIÓN,"Seguimiento al Plan Anual de Contratación (PAC), revisando el estado de los procesos planificados y coordinando las acciones necesarias para garantizar su ejecución oportuna y el cumplimiento de la planificación institucionaL",,CUMPLIMIENTO NORMATIVO,ANDRES VITERI,7/6/26,7/22/26,FINALIZADO,Se realiza en diferentes fechas taller de seguimiento al Plan Anual de Contratación (PAC) y revisión de los procesos certificados pendientes por devengar.,DIFERNETES DIRECCIONES,
OBRAS PÚBLICAS,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",,CUMPLIMIENTO NORMATIVO,Fabián Borja,6/1/26,SIN INFORMACION,EN CURSO,,OBRAS PUBLICAS,
TALENTO HUMANO,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",,CUMPLIMIENTO NORMATIVO,Sandra Guevara,6/1/26,SIN INFORMACION,EN CURSO,,TALENTO HUMANO,
DESARROLLO ECONÓMICO,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",1221512,CUMPLIMIENTO NORMATIVO,Alejandro Ríos,6/1/26,SIN INFORMACION,FINALIZADO,Evento de rendición de cuentas realizado el 5 de agosto de 2026,GESTION ESTRATEGICA,
CONTROL MUNICIPAL,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",,CUMPLIMIENTO NORMATIVO,Fabián Codel,6/1/26,SIN INFORMACION,EN CURSO,,COMISARIA MUNICIPAL,
SECRETARIA GENERAL,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",,CUMPLIMIENTO NORMATIVO,Paulina Sarmiento,6/1/26,6/16/26,FINALIZADO,Evento de rendición de cuentas realizado el 3 de  Julio de 2026,SECRETARIA DE CONSEJO,
CONSEJO DE PROTECCIÓN,RENDICIÓN DE CUENTAS,"Ejecución del proceso de rendición de cuentas para informar a la ciudadanía sobre la gestión institucional, el uso de los recursos públicos, las acciones desarrolladas y los resultados alcanzados, fortaleciendo la transparencia y la participación ciudadana.",,CUMPLIMIENTO NORMATIVO,Sebastián López,6/1/26,7/3/26,FINALIZADO,,CONSEJO CANTONAL DE DERECHOS,
PARTICIPACIÓN CIUDADANA,CONVOCATORIA A LA MESA DE TRABAJO SOBRE DENUNCIA PÚBLICA DE PRESUNTO CASO DE MALTRATO ANIMAL.,"Analizar de manera articulada la denuncia pública difundida a través de redes sociales respecto de un aparente caso de maltrato animal, así como la presunta situación de vulnerabilidad de la persona identificada como tutora de los animales,",ACTA Nª 74  /  1222034,ATENCION CIUDADANA,MARCELO PINO,04/08/2026,SIN  INFORMACION,EN CURSO,"4AGOT. Mesa técnica atender denuncia ciudadana, mediante MEMORANDO #1222034 - (GADMR-ALC-2026-0465-M) se remite acuerdos y compromisos","AMBIENTE, COMISARIA MUNICIPAL",
CONSEJO DE PROTECCIÓN,PROCESO DE DESIGNACIÓN DE MIEMBROS DEL CCPD Y JUNTA CANTONAL,"Conocer el cronograma previsto para el desarrollo de los procesos de elección y designación de los miembros principales del Consejo Cantonal para la Protección de Derechos de Riobamba, así como de los integrantes principales de la Junta Cantonal de Protección de Derechos.",1220834,CUMPLIMIENTO NORMATIVO,Sebastián López,8/7/26,,EN CURSO,"07AGOS. MEMORANDO Nro. GADMR-ALC-2026-0473-M  ACTO NORMATIVO QUE REGULA EL PROCESO DE SELECCIÓN DE LOS MIEMBROS PRINCIPALES Y SUPLENTES DE LA JUNTA CANTONAL DE PROTECCIÓN DE DERECHOS DEL CANTÓN RIOBAMBA, se encuentra en el Despacho de Alcaldía",CONSEJO CANTONAL DE DERECHOS,
DESARROLLO ECONÓMICO,CAPACITACIÓN A LAS COMUNIDADES DE LAS PARROQUIAS RURALES SOBRE EL USO Y GESTIÓN DE PLATAFORMAS,Fortalecer la promoción de sus servicios turísticos y ampliar sus oportunidades de comercialización,1225719,DISPOSICIÓN DE ALCALDIA,Alejandro Ríos,11/08/2026,,EN CURSO,"11AGOST. MEMORANDO Nro. GADMR-ALC-2026-0484-M,",,
